id,time,creative_id,spend,program,duration,network_code,is_dual_feed,rotation,rotation_days,rotation_start,rotation_end,feed
413660,2017-10-17 11:39:13-07:00,eff6a8d032a8ca3ae098381569a9c15f,24.48,WHAT'S MY CAR WORTH?,14.0,VEL,True,Weekday Day,"{1,2,3,4,5}",09:00:00,16:00:00,2.0
413742,2017-10-17 12:28:55-07:00,5992d996de2f11faa3492960a58de350,15.299999999999999,PARKS AND RECREATION,14.0,FXX,True,Weekday Day,"{1,2,3,4,5}",07:00:00,15:00:00,2.0
413742,2017-10-17 09:28:55-07:00,5992d996de2f11faa3492960a58de350,69.7,PARKS AND RECREATION,14.0,FXX,True,Weekday Day,"{1,2,3,4,5}",07:00:00,15:00:00,1.0
413743,2017-10-17 09:12:57-07:00,5992d996de2f11faa3492960a58de350,111.52,RMD GARAGE,14.0,VEL,True,Weekday Day,"{1,2,3,4,5}",09:00:00,16:00:00,1.0
413743,2017-10-17 12:12:57-07:00,5992d996de2f11faa3492960a58de350,24.48,RMD GARAGE,14.0,VEL,True,Weekday Day,"{1,2,3,4,5}",09:00:00,16:00:00,2.0
413744,2017-10-17 09:33:58-07:00,b6cc05016845138a72f2fa2e4f1f1a56,111.52,RMD GARAGE,14.0,VEL,True,Weekday Day,"{1,2,3,4,5}",09:00:00,16:00:00,1.0
413744,2017-10-17 12:33:58-07:00,b6cc05016845138a72f2fa2e4f1f1a56,24.48,RMD GARAGE,14.0,VEL,True,Weekday Day,"{1,2,3,4,5}",09:00:00,16:00:00,2.0
413745,2017-10-17 12:54:25-07:00,f3483f810d44cef79d90a66ab2da1bf0,24.48,RMD GARAGE,14.0,VEL,True,Weekday Day,"{1,2,3,4,5}",09:00:00,16:00:00,2.0
413745,2017-10-17 09:54:25-07:00,f3483f810d44cef79d90a66ab2da1bf0,111.52,RMD GARAGE,14.0,VEL,True,Weekday Day,"{1,2,3,4,5}",09:00:00,16:00:00,1.0
413747,2017-10-16 18:53:30-07:00,f3483f810d44cef79d90a66ab2da1bf0,1568.25,Monday Night Football 4.5,,DISH: ESPN,True,Monday Night Football in-game,{1},20:30:00,23:00:00,1.0
413747,2017-10-16 21:53:30-07:00,f3483f810d44cef79d90a66ab2da1bf0,344.25,Monday Night Football 4.5,,DISH: ESPN,True,Monday Night Football in-game,{1},20:30:00,23:00:00,2.0
413871,2017-10-17 13:12:07-07:00,eff6a8d032a8ca3ae098381569a9c15f,24.48,RMD GARAGE,14.0,VEL,True,Weekday Day,"{1,2,3,4,5}",09:00:00,16:00:00,2.0
413871,2017-10-17 10:12:07-07:00,eff6a8d032a8ca3ae098381569a9c15f,111.52,RMD GARAGE,14.0,VEL,True,Weekday Day,"{1,2,3,4,5}",09:00:00,16:00:00,1.0
413872,2017-10-17 10:32:38-07:00,5992d996de2f11faa3492960a58de350,111.52,RMD GARAGE,14.0,VEL,True,Weekday Day,"{1,2,3,4,5}",09:00:00,16:00:00,1.0
413872,2017-10-17 13:32:38-07:00,5992d996de2f11faa3492960a58de350,24.48,RMD GARAGE,14.0,VEL,True,Weekday Day,"{1,2,3,4,5}",09:00:00,16:00:00,2.0
413873,2017-10-17 13:54:25-07:00,b6cc05016845138a72f2fa2e4f1f1a56,24.48,RMD GARAGE,14.0,VEL,True,Weekday Day,"{1,2,3,4,5}",09:00:00,16:00:00,2.0
413873,2017-10-17 10:54:25-07:00,b6cc05016845138a72f2fa2e4f1f1a56,111.52,RMD GARAGE,14.0,VEL,True,Weekday Day,"{1,2,3,4,5}",09:00:00,16:00:00,1.0
413880,2017-10-17 11:33:39-07:00,f3483f810d44cef79d90a66ab2da1bf0,111.52,RMD GARAGE,15.0,VEL,True,Weekday Day,"{1,2,3,4,5}",09:00:00,16:00:00,1.0
413880,2017-10-17 14:33:39-07:00,f3483f810d44cef79d90a66ab2da1bf0,24.48,RMD GARAGE,15.0,VEL,True,Weekday Day,"{1,2,3,4,5}",09:00:00,16:00:00,2.0
413881,2017-10-17 11:52:33-07:00,eff6a8d032a8ca3ae098381569a9c15f,111.52,RMD GARAGE,14.0,VEL,True,Weekday Day,"{1,2,3,4,5}",09:00:00,16:00:00,1.0
413881,2017-10-17 14:52:33-07:00,eff6a8d032a8ca3ae098381569a9c15f,24.48,RMD GARAGE,14.0,VEL,True,Weekday Day,"{1,2,3,4,5}",09:00:00,16:00:00,2.0
413885,2017-10-17 12:27:41-07:00,5992d996de2f11faa3492960a58de350,111.52,BITCHIN' RIDES,14.0,VEL,True,Weekday Day,"{1,2,3,4,5}",09:00:00,16:00:00,1.0
413885,2017-10-17 15:27:41-07:00,5992d996de2f11faa3492960a58de350,24.48,BITCHIN' RIDES,14.0,VEL,True,Weekday Day,"{1,2,3,4,5}",09:00:00,16:00:00,2.0
413886,2017-10-17 15:53:10-07:00,b6cc05016845138a72f2fa2e4f1f1a56,24.48,BITCHIN' RIDES,14.0,VEL,True,Weekday Day,"{1,2,3,4,5}",09:00:00,16:00:00,2.0
413886,2017-10-17 12:53:10-07:00,b6cc05016845138a72f2fa2e4f1f1a56,111.52,BITCHIN' RIDES,14.0,VEL,True,Weekday Day,"{1,2,3,4,5}",09:00:00,16:00:00,1.0
413895,2017-10-17 16:09:07-07:00,f3483f810d44cef79d90a66ab2da1bf0,6.12,2016-17 NBA CHAMPIONS: GOLDEN STATE,14.0,NBAT,True,Everyday Early Fringe,"{1,2,3,4,5,6,7}",16:00:00,19:00:00,2.0
413895,2017-10-17 13:09:07-07:00,f3483f810d44cef79d90a66ab2da1bf0,27.88,2016-17 NBA CHAMPIONS: GOLDEN STATE,14.0,NBAT,True,Everyday Early Fringe,"{1,2,3,4,5,6,7}",16:00:00,19:00:00,1.0
413896,2017-10-17 13:52:08-07:00,eff6a8d032a8ca3ae098381569a9c15f,27.88,2016-17 NBA CHAMPIONS: GOLDEN STATE,14.0,NBAT,True,Everyday Early Fringe,"{1,2,3,4,5,6,7}",16:00:00,19:00:00,1.0
413896,2017-10-17 16:52:08-07:00,eff6a8d032a8ca3ae098381569a9c15f,6.12,2016-17 NBA CHAMPIONS: GOLDEN STATE,14.0,NBAT,True,Everyday Early Fringe,"{1,2,3,4,5,6,7}",16:00:00,19:00:00,2.0
413902,2017-10-17 17:13:43-07:00,5992d996de2f11faa3492960a58de350,6.12,10 BEFORE TIP,14.0,NBAT,True,Everyday Early Fringe,"{1,2,3,4,5,6,7}",16:00:00,19:00:00,2.0
413902,2017-10-17 14:13:43-07:00,5992d996de2f11faa3492960a58de350,27.88,10 BEFORE TIP,14.0,NBAT,True,Everyday Early Fringe,"{1,2,3,4,5,6,7}",16:00:00,19:00:00,1.0
